Region,Sub Region,Country,Count,Rate,Year
Africa,Eastern Africa,Mauritius,1643,135.8981103,2003
Africa,Eastern Africa,Uganda,5716,21.46868974,2003
Africa,Eastern Africa,Zimbabwe,71941,569.4284194,2003
Africa,Northern Africa,Morocco,2908,9.744022714,2003
Africa,Southern Africa,Eswatini,8470,778.9279303,2003
Americas,Northern America,Bermuda,936,1442.885772,2003
Americas,Northern America,Canada,284925,900.868685,2003
Americas,Northern America,United States of America,2154834,742.9754346,2003
Americas,South America,Ecuador,10224,76.93233228,2003
Americas,South America,Suriname,2476,507.0321011,2003
Americas,South America,Uruguay,9741,292.9062913,2003
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,9076,133.8135642,2003
Asia,Eastern Asia,Japan,333233,260.2004685,2003
Asia,South-Eastern Asia,Brunei Darussalam,336,95.07936014,2003
Asia,South-Eastern Asia,Singapore,1337,31.46404286,2003
Asia,Southern Asia,Sri Lanka,16768,87.26376321,2003
Asia,Western Asia,Azerbaijan,757,9.05355218,2003
Asia,Western Asia,Cyprus,3155,317.5440309,2003
Asia,Western Asia,Qatar,264,38.33943763,2003
Asia,Western Asia,State of Palestine,62,1.801907057,2003
Asia,Western Asia,Turkey,65721,99.44798583,2003
Asia,Western Asia,United Arab Emirates,1882,50.29487441,2003
Europe,Eastern Europe,Bulgaria,28210,361.4868038,2003
Europe,Eastern Europe,Czech Republic,68901,672.9088392,2003
Europe,Eastern Europe,Hungary,46971,463.1355135,2003
Europe,Eastern Europe,Poland,294654,766.553068,2003
Europe,Eastern Europe,Romania,12479,57.43037654,2003
Europe,Eastern Europe,Slovakia,21783,403.3974051,2003
Europe,Northern Europe,Denmark,100991,1874.728047,2003
Europe,Northern Europe,Finland,27723,530.3702644,2003
Europe,Northern Europe,Iceland,2889,1003.292215,2003
Europe,Northern Europe,Ireland,25160,621.3040619,2003
Europe,Northern Europe,Latvia,7438,322.5813447,2003
Europe,Northern Europe,Norway,30755,672.9603208,2003
Europe,Northern Europe,Sweden,122700,1370.731935,2003
Europe,Northern Europe,United Kingdom (England and Wales),820013,1551.197072,2003
Europe,Northern Europe,United Kingdom (Northern Ireland),17109,1003.505142,2003
Europe,Northern Europe,United Kingdom (Scotland),36746,724.9876689,2003
Europe,Southern Europe,Croatia,23483,535.0487338,2003
Europe,Southern Europe,Greece,31181,277.3230239,2003
Europe,Southern Europe,Italy,173097,297.6884274,2003
Europe,Southern Europe,Malta,682,169.1422109,2003
Europe,Southern Europe,Montenegro,2319,377.6276386,2003
Europe,Southern Europe,Portugal,46929,447.4920791,2003
