Region,Sub region,Country,Count,Rate,Year
Africa,Eastern Africa,Zimbabwe,139,1.100214764,2003
Africa,Northern Africa,Algeria,220,0.67893871,2003
Africa,Northern Africa,Egypt,16,0.021626899,2003
Africa,Northern Africa,Morocco,392,1.313499623,2003
Africa,Southern Africa,Eswatini,122,11.21950502,2003
Africa,Western Africa,Guinea,14,0.150378395,2003
Americas,Central America,Costa Rica,5,0.121183595,2003
Americas,Central America,Mexico,169,0.159976595,2003
Americas,Northern America,Bermuda,3,4.624633883,2003
Americas,Northern America,Canada,3198,10.11135581,2003
Americas,South America,Chile,161,1.01901688,2003
Americas,South America,Ecuador,257,1.93384286,2003
Americas,South America,Peru,275,1.020872651,2003
Americas,South America,Uruguay,3,0.090208282,2003
Asia,Central Asia,Kyrgyzstan,17,0.33916775,2003
Asia,Central Asia,Turkmenistan,157,3.372180712,2003
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,0,0,2003
Asia,Eastern Asia,Japan,284,0.221757548,2003
Asia,Eastern Asia,Mongolia,0,0,2003
Asia,South-Eastern Asia,Brunei Darussalam,1,0.282974286,2003
Asia,South-Eastern Asia,Philippines,90,0.108392005,2003
Asia,South-Eastern Asia,Singapore,3,0.070599947,2003
Asia,Southern Asia,Sri Lanka,829,4.314268827,2003
Asia,Western Asia,Azerbaijan,28,0.334873793,2003
Asia,Western Asia,Bahrain,5,0.642086731,2003
Asia,Western Asia,Cyprus,20,2.012957407,2003
Asia,Western Asia,Georgia,94,2.052813206,2003
Asia,Western Asia,Qatar,7,1.016575998,2003
Asia,Western Asia,State of Palestine,126,3.661940148,2003
Asia,Western Asia,Syrian Arab Republic,85,0.488077529,2003
Asia,Western Asia,Turkey,7753,11.73171793,2003
Asia,Western Asia,United Arab Emirates,434,11.59828666,2003
Europe,Eastern Europe,Belarus,30,0.308006506,2003
Europe,Eastern Europe,Bulgaria,209,2.678154626,2003
Europe,Eastern Europe,Czech Republic,14,0.136728404,2003
Europe,Eastern Europe,Hungary,36,0.354961114,2003
Europe,Eastern Europe,Poland,110,0.28616899,2003
Europe,Eastern Europe,Romania,321,1.477293923,2003
Europe,Eastern Europe,Ukraine,205,0.430848238,2003
Europe,Northern Europe,Estonia,2,0.145676079,2003
Europe,Northern Europe,Finland,1,0.019131056,2003
Europe,Northern Europe,Ireland,53,1.308788366,2003
Europe,Northern Europe,Latvia,26,1.127603517,2003
Europe,Northern Europe,Lithuania,37,1.08366097,2003
Europe,Northern Europe,United Kingdom (England and Wales),3125,5.911480489,2003
Europe,Northern Europe,United Kingdom (Northern Ireland),71,4.164408501,2003
Europe,Southern Europe,Italy,132,0.227010707,2003
Europe,Southern Europe,Slovenia,8,0.402219245,2003
Europe,Western Europe,Belgium,1003,9.626614065,2003
Europe,Western Europe,France,2031,3.35424731,2003
Europe,Western Europe,Switzerland,263,3.606745189,2003
Africa,Eastern Africa,Kenya,235,0.66999419,2004
Africa,Eastern Africa,Zimbabwe,198,1.54959757,2004
Africa,Northern Africa,Algeria,149,0.453838032,2004
Africa,Northern Africa,Egypt,21,0.027858147,2004
Africa,Northern Africa,Morocco,342,1.133227643,2004
Africa,Southern Africa,Eswatini,96,8.766698963,2004
Africa,Western Africa,Guinea,4,0.042148614,2004
Americas,Caribbean,Barbados,12,4.394139682,2004
Americas,Caribbean,St. Vincent and the Grenadines,3,2.76347424,2004
Americas,Caribbean,Trinidad and Tobago,28,2.169642823,2004
Americas,Central America,Costa Rica,8,0.191065856,2004
Americas,Central America,Guatemala,51,0.398533241,2004
Americas,Central America,Mexico,323,0.301881621,2004
Americas,Central America,Panama,11,0.336438662,2004
Americas,Northern America,Bermuda,2,3.073849228,2004
Americas,Northern America,Canada,3457,10.82022874,2004
Americas,South America,Chile,114,0.713669615,2004
Americas,South America,Colombia,1442,3.375139263,2004
Americas,South America,Ecuador,203,1.502629935,2004
Americas,South America,Peru,469,1.719637238,2004
Asia,Central Asia,Kyrgyzstan,24,0.476386229,2004
Asia,Central Asia,Turkmenistan,127,2.70017549,2004
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,1,0.014700268,2004
Asia,Eastern Asia,Japan,320,0.249583445,2004
Asia,Eastern Asia,Mongolia,0,0,2004
Asia,South-Eastern Asia,Brunei Darussalam,1,0.278146322,2004
Asia,South-Eastern Asia,Philippines,42,0.049599371,2004
Asia,South-Eastern Asia,Singapore,0,0,2004
Asia,Southern Asia,India,23327,2.071419848,2004
Asia,Southern Asia,Maldives,1,0.322141078,2004
Asia,Southern Asia,Sri Lanka,868,4.48056935,2004
Asia,Western Asia,Armenia,23,0.766510299,2004
Asia,Western Asia,Azerbaijan,23,0.272225367,2004
