Region,Sub Region,Country,Count,Rate,Year
Africa,Eastern Africa,Mauritius,855,70.71995395,2003
Africa,Eastern Africa,Uganda,3904,14.66300993,2003
Africa,Eastern Africa,Zimbabwe,14028,111.0346238,2003
Africa,Northern Africa,Egypt,337,0.455516564,2003
Africa,Northern Africa,Morocco,16291,54.58730194,2003
Africa,Southern Africa,Eswatini,2723,250.4156735,2003
Americas,Central America,Costa Rica,17457,423.1004047,2003
Americas,Northern America,Bermuda,87,134.1143826,2003
Americas,Northern America,Canada,32084,101.4423827,2003
Americas,Northern America,United States of America,414235,142.8260503,2003
Americas,South America,Ecuador,30625,230.4433369,2003
Americas,South America,Peru,38584,143.2340013,2003
Americas,South America,Uruguay,9700,291.6734448,2003
Asia,Central Asia,Turkmenistan,238,5.111968213,2003
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,3215,47.40090447,2003
Asia,Eastern Asia,Mongolia,825,33.41046764,2003
Asia,Eastern Asia,Republic of Korea,7292,15.10824836,2003
Asia,South-Eastern Asia,Brunei Darussalam,16,4.527588578,2003
Asia,South-Eastern Asia,Philippines,7536,9.076023912,2003
Asia,South-Eastern Asia,Singapore,973,22.89791601,2003
Asia,Southern Asia,Maldives,268,88.68035035,2003
Asia,Southern Asia,Sri Lanka,6546,34.06659077,2003
Asia,Western Asia,Armenia,140,4.639131873,2003
Asia,Western Asia,Azerbaijan,168,2.009242756,2003
Asia,Western Asia,Bahrain,244,31.33383245,2003
Asia,Western Asia,Cyprus,69,6.944703054,2003
Asia,Western Asia,Georgia,556,12.14217173,2003
Asia,Western Asia,Qatar,21,3.049727993,2003
Asia,Western Asia,State of Palestine,49,1.424087835,2003
Asia,Western Asia,Syrian Arab Republic,505,2.899754732,2003
Asia,Western Asia,Turkey,16679,25.23840105,2003
Asia,Western Asia,United Arab Emirates,396,10.58276847,2003
Europe,Eastern Europe,Belarus,10307,105.8207686,2003
Europe,Eastern Europe,Bulgaria,4933,63.21213765,2003
Europe,Eastern Europe,Czech Republic,5508,53.79286057,2003
Europe,Eastern Europe,Hungary,3289,32.42964178,2003
Europe,Eastern Europe,Poland,51688,134.4682067,2003
Europe,Eastern Europe,Romania,2782,12.803214,2003
Europe,Eastern Europe,Slovakia,1918,35.51926837,2003
Europe,Eastern Europe,Ukraine,36486,76.68257954,2003
Europe,Northern Europe,Denmark,3181,59.04991453,2003
Europe,Northern Europe,Estonia,1885,137.2997045,2003
Europe,Northern Europe,Finland,2045,39.12300944,2003
Europe,Northern Europe,Iceland,39,13.54392399,2003
Europe,Northern Europe,Ireland,1714,42.32572186,2003
Europe,Northern Europe,Latvia,2503,108.5535232,2003
Europe,Northern Europe,Lithuania,4919,144.0683327,2003
Europe,Northern Europe,Norway,1437,31.44347199,2003
Europe,Northern Europe,Sweden,8575,95.79483573,2003
Europe,Northern Europe,United Kingdom (England and Wales),103736,196.2346688,2003
Europe,Northern Europe,United Kingdom (Northern Ireland),2187,128.2755126,2003
Europe,Northern Europe,United Kingdom (Scotland),4159,82.05583506,2003
Europe,Southern Europe,Croatia,1236,28.16165886,2003
Europe,Southern Europe,Greece,2320,20.63402121,2003
Europe,Southern Europe,Italy,41747,71.79557576,2003
Europe,Southern Europe,Malta,195,48.36177584,2003
Europe,Southern Europe,Montenegro,51,8.304876917,2003
Europe,Southern Europe,Portugal,19767,188.4884811,2003
Europe,Southern Europe,Slovenia,349,17.54681455,2003
