Region,Sub Region,Country,Count,Rate,Year
Africa,Eastern Africa,Mauritius,11062,914.9755913,2003
Africa,Eastern Africa,Uganda,23513,88.31233413,2003
Africa,Eastern Africa,Zimbabwe,176648,1398.206745,2003
Africa,Middle Africa,Cameroon,11839,71.69145943,2003
Africa,Northern Africa,Egypt,30116,40.70723096,2003
Africa,Northern Africa,Morocco,69789,233.8464928,2003
Africa,Southern Africa,Eswatini,21535,1980.426562,2003
Americas,Central America,Costa Rica,6877,166.675917,2003
Americas,Northern America,Bermuda,969,1493.756744,2003
Americas,Northern America,Canada,720021,2276.544253,2003
Americas,Northern America,United States of America,7026802,2422.804388,2003
Americas,South America,Ecuador,4277,32.18305802,2003
Americas,South America,Peru,58126,215.779068,2003
Americas,South America,Suriname,14618,2993.455272,2003
Americas,South America,Uruguay,96606,2904.887094,2003
Asia,Central Asia,Kyrgyzstan,14383,286.9558677,2003
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,40887,602.8245042,2003
Asia,Eastern Asia,Mongolia,8782,355.6493658,2003
Asia,Eastern Asia,Republic of Korea,187352,388.1734157,2003
Asia,South-Eastern Asia,Brunei Darussalam,898,254.1109089,2003
Asia,South-Eastern Asia,Philippines,9801,11.80388938,2003
Asia,South-Eastern Asia,Singapore,15086,355.023598,2003
Asia,Southern Asia,Iran (Islamic Republic of),104746,152.2189657,2003
Asia,Southern Asia,Sri Lanka,23398,121.7675055,2003
Asia,Western Asia,Armenia,2831,93.8098738,2003
Asia,Western Asia,Azerbaijan,1820,21.76679652,2003
Asia,Western Asia,Cyprus,1504,151.374397,2003
Asia,Western Asia,Qatar,754,109.4997575,2003
Asia,Western Asia,State of Palestine,3597,104.5396723,2003
Asia,Western Asia,Syrian Arab Republic,12349,70.90905186,2003
Asia,Western Asia,Turkey,66405,100.4830039,2003
Asia,Western Asia,United Arab Emirates,10802,288.6744067,2003
Europe,Eastern Europe,Belarus,74632,766.2380517,2003
Europe,Eastern Europe,Bulgaria,47148,604.1609297,2003
Europe,Eastern Europe,Czech Republic,141323,1380.204872,2003
Europe,Eastern Europe,Hungary,124782,1230.354381,2003
Europe,Eastern Europe,Poland,281852,733.2482007,2003
Europe,Eastern Europe,Republic of Moldova,14985,359.2107288,2003
Europe,Eastern Europe,Romania,58472,269.0976021,2003
Europe,Eastern Europe,Slovakia,28991,536.8817045,2003
Europe,Eastern Europe,Ukraine,264904,556.748398,2003
Europe,Northern Europe,Denmark,186157,3455.691588,2003
Europe,Northern Europe,Estonia,34215,2492.153522,2003
Europe,Northern Europe,Finland,141372,2704.595643,2003
Europe,Northern Europe,Iceland,6398,2221.898094,2003
Europe,Northern Europe,Ireland,57870,1429.048731,2003
Europe,Northern Europe,Latvia,23397,1014.713057,2003
Europe,Northern Europe,Lithuania,29199,855.1842341,2003
Europe,Northern Europe,Norway,128162,2804.355085,2003
Europe,Northern Europe,Sweden,389088,4346.661346,2003
Europe,Northern Europe,United Kingdom (England and Wales),2250787,4257.754699,2003
Europe,Northern Europe,United Kingdom (Northern Ireland),30831,1808.350402,2003
Europe,Northern Europe,United Kingdom (Scotland),152123,3001.34162,2003
Europe,Southern Europe,Croatia,29976,682.9885809,2003
Europe,Southern Europe,Greece,68255,607.0582405,2003
Europe,Southern Europe,Italy,1328350,2284.467221,2003
Europe,Southern Europe,Malta,11004,2729.092212,2003
Europe,Southern Europe,Montenegro,1577,256.7998215,2003
Europe,Southern Europe,Portugal,103067,982.7966953,2003
