Region,Sub Region,Country,Count,Rate,Year
Africa,Eastern Africa,Mauritius,988,81.72083567,2003
Africa,Eastern Africa,Uganda,837,3.143683225,2003
Africa,Eastern Africa,Zimbabwe,1051,8.318890046,2003
Africa,Northern Africa,Algeria,1250,3.857606308,2003
Africa,Northern Africa,Egypt,1994,2.695252309,2003
Africa,Northern Africa,Morocco,6978,23.3816336,2003
Africa,Southern Africa,Eswatini,341,31.35943616,2003
Americas,Central America,Costa Rica,5304,128.5515579,2003
Americas,Northern America,Bermuda,1112,1714.197626,2003
Americas,Northern America,Canada,174208,550.8064644,2003
Americas,Northern America,United States of America,1261226,434.8640942,2003
Americas,South America,Ecuador,5601,42.14573485,2003
Americas,South America,Peru,8722,32.37836822,2003
Americas,South America,Suriname,71,14.53928884,2003
Americas,South America,Uruguay,4456,133.9893681,2003
Asia,Central Asia,Kyrgyzstan,219,4.369278664,2003
Asia,Central Asia,Turkmenistan,10,0.21478858,2003
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2301,33.92518855,2003
Asia,South-Eastern Asia,Brunei Darussalam,148,41.88019435,2003
Asia,South-Eastern Asia,Singapore,1190,28.00464548,2003
Asia,Southern Asia,Iran (Islamic Republic of),81075,117.8197988,2003
Asia,Southern Asia,Maldives,261,86.36407255,2003
Asia,Southern Asia,Sri Lanka,752,3.913546632,2003
Asia,Western Asia,Armenia,124,4.108945373,2003
Asia,Western Asia,Azerbaijan,80,0.956782265,2003
Asia,Western Asia,Georgia,743,16.2259597,2003
Asia,Western Asia,Qatar,65,9.439634265,2003
Asia,Western Asia,State of Palestine,181,5.260406086,2003
Asia,Western Asia,Syrian Arab Republic,529,3.037564858,2003
Asia,Western Asia,Turkey,25443,38.49994832,2003
Asia,Western Asia,United Arab Emirates,677,18.09225822,2003
Europe,Eastern Europe,Belarus,1787,18.34692087,2003
Europe,Eastern Europe,Bulgaria,8897,114.0073766,2003
Europe,Eastern Europe,Czech Republic,25331,247.390514,2003
Europe,Eastern Europe,Hungary,12527,123.5166076,2003
Europe,Eastern Europe,Poland,54291,141.2400056,2003
Europe,Eastern Europe,Republic of Moldova,184,4.410729002,2003
Europe,Eastern Europe,Romania,1127,5.186636298,2003
Europe,Eastern Europe,Slovakia,5295,98.05762566,2003
Europe,Eastern Europe,Ukraine,7013,14.73921313,2003
Europe,Northern Europe,Denmark,23713,440.1919596,2003
Europe,Northern Europe,Estonia,460,33.50549818,2003
Europe,Northern Europe,Finland,21922,419.3910087,2003
Europe,Northern Europe,Iceland,385,133.7028394,2003
Europe,Northern Europe,Ireland,12339,304.700748,2003
Europe,Northern Europe,Latvia,3699,160.423285,2003
Europe,Northern Europe,Lithuania,7022,205.6612792,2003
Europe,Northern Europe,Norway,20130,440.4711838,2003
Europe,Northern Europe,Sweden,67199,750.7075412,2003
Europe,Northern Europe,United Kingdom (England and Wales),291858,552.1001192,2003
Europe,Northern Europe,United Kingdom (Northern Ireland),6150,360.7198913,2003
Europe,Northern Europe,United Kingdom (Scotland),17843,352.0370918,2003
Europe,Southern Europe,Croatia,2338,53.27019289,2003
Europe,Southern Europe,Italy,221543,381.0047965,2003
Europe,Southern Europe,Malta,887,219.9840778,2003
Europe,Southern Europe,Montenegro,78,12.70157646,2003
Europe,Southern Europe,Portugal,29934,285.4360395,2003
Europe,Southern Europe,Slovenia,682,34.28919061,2003
Europe,Western Europe,Belgium,32878,315.5571458,2003
Europe,Western Europe,Germany,109846,134.4726567,2003
Europe,Western Europe,Liechtenstein,22,64.10069637,2003
Europe,Western Europe,Switzerland,70713,969.7481847,2003
Oceania,Australia and New Zealand,Australia,98298,499.0513263,2003
Africa,Eastern Africa,Kenya,798,2.275129208,2004
Africa,Eastern Africa,Mauritius,1105,90.89585474,2004
Africa,Eastern Africa,Uganda,581,2.10748263,2004
Africa,Eastern Africa,Zimbabwe,1096,8.577570389,2004
Africa,Northern Africa,Algeria,1096,3.338298545,2004
Africa,Northern Africa,Egypt,2784,3.693194304,2004
Africa,Northern Africa,Morocco,7640,25.31537775,2004
Africa,Southern Africa,Eswatini,307,28.03517273,2004
Americas,Caribbean,Barbados,107,39.18107883,2004
Americas,Caribbean,St. Vincent and the Grenadines,36,33.16169088,2004
Americas,Caribbean,Trinidad and Tobago,1428,110.651784,2004
Americas,Central America,Costa Rica,4763,113.7558341,2004
Americas,Central America,Guatemala,4654,36.36811187,2004
Americas,Central America,Mexico,144457,135.0121154,2004
Americas,Central America,Panama,771,23.58129169,2004
Americas,Northern America,Bermuda,858,1318.681319,2004
Americas,Northern America,Canada,169977,532.0190976,2004
Americas,Northern America,United States of America,1237851,423.1400357,2004
Americas,South America,Ecuador,6167,45.64886114,2004
Americas,South America,Peru,10633,38.98699947,2004
Americas,South America,Suriname,40,8.103235217,2004
Americas,South America,Uruguay,4677,140.6999076,2004
Asia,Central Asia,Kyrgyzstan,238,4.724163441,2004
Asia,Central Asia,Tajikistan,41,0.610769717,2004
Asia,Central Asia,Turkmenistan,8,0.170089795,2004
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,1740,25.57846658,2004
Asia,Eastern Asia,Japan,185454,144.6445258,2004
Asia,Eastern Asia,Mongolia,61,2.443095891,2004
Asia,South-Eastern Asia,Brunei Darussalam,142,39.49677767,2004
Asia,South-Eastern Asia,Singapore,1117,25.56040677,2004
Asia,Southern Asia,India,80682,7.1645002,2004
Asia,Southern Asia,Iran (Islamic Republic of),94413,135.6175422,2004
Asia,Southern Asia,Maldives,316,101.7965808,2004
Asia,Southern Asia,Sri Lanka,822,4.243119823,2004
Asia,Western Asia,Armenia,127,4.232469909,2004
Asia,Western Asia,Azerbaijan,95,1.124409123,2004
Asia,Western Asia,Georgia,1784,39.35297879,2004
Asia,Western Asia,Israel,30850,476.9025358,2004
Asia,Western Asia,Kuwait,6,0.271746638,2004
Asia,Western Asia,Qatar,63,8.301981274,2004
Asia,Western Asia,State of Palestine,385,10.98731436,2004
Asia,Western Asia,Syrian Arab Republic,572,3.212285216,2004
Asia,Western Asia,Turkey,25667,38.30446445,2004
Asia,Western Asia,United Arab Emirates,519,12.69590901,2004
Europe,Eastern Europe,Belarus,1771,18.30131172,2004
Europe,Eastern Europe,Bulgaria,7708,99.54458482,2004
Europe,Eastern Europe,Czech Republic,24230,236.6318161,2004
Europe,Eastern Europe,Hungary,9053,89.50002477,2004
Europe,Eastern Europe,Poland,51150,133.2167728,2004
Europe,Eastern Europe,Republic of Moldova,191,4.584362715,2004
Europe,Eastern Europe,Romania,1120,5.187307178,2004
Europe,Eastern Europe,Russian Federation,71205,49.43260389,2004
Europe,Eastern Europe,Slovakia,6000,111.1230671,2004
Europe,Eastern Europe,Ukraine,5857,12.40470226,2004
Europe,Northern Europe,Denmark,20789,384.7847425,2004
Europe,Northern Europe,Estonia,628,46.05574358,2004
Europe,Northern Europe,Finland,19326,368.663067,2004
Europe,Northern Europe,Iceland,438,150.4616907,2004
Europe,Northern Europe,Ireland,14396,348.6770448,2004
Europe,Northern Europe,Latvia,3266,143.3175871,2004
Europe,Northern Europe,Lithuania,6330,187.2161812,2004
Europe,Northern Europe,Norway,17867,388.5639076,2004
Europe,Northern Europe,Sweden,60980,678.2610224,2004
Europe,Northern Europe,United Kingdom (England and Wales),242732,456.6750066,2004
Europe,Northern Europe,United Kingdom (Northern Ireland),4532,264.4042561,2004
Europe,Northern Europe,United Kingdom (Scotland),15633,307.4759554,2004
Europe,Southern Europe,Croatia,2462,56.15978394,2004
Europe,Southern Europe,Greece,17478,155.0777447,2004
Europe,Southern Europe,Italy,187300,320.1999278,2004
Europe,Southern Europe,Malta,798,197.0336315,2004
Europe,Southern Europe,Montenegro,47,7.64047501,2004
Europe,Southern Europe,Portugal,29237,277.6999978,2004
Europe,Southern Europe,Slovenia,704,35.3514811,2004
Europe,Western Europe,Austria,8156,99.25999217,2004
Europe,Western Europe,Belgium,29925,285.5407053,2004
Europe,Western Europe,France,285680,469.2000656,2004
Europe,Western Europe,Germany,107920,132.0677105,2004
Europe,Western Europe,Liechtenstein,19,54.91964389,2004
Europe,Western Europe,Switzerland,62172,846.1944998,2004
Oceania,Australia and New Zealand,Australia,87939,440.8317066,2004
Africa,Eastern Africa,Kenya,654,1.814233175,2005
Africa,Eastern Africa,Mauritius,993,81.26002964,2005
Africa,Eastern Africa,Uganda,1641,5.749031143,2005
Africa,Eastern Africa,Zimbabwe,650,5.023171504,2005
Africa,Northern Africa,Algeria,2624,7.882617018,2005
Africa,Northern Africa,Egypt,3047,3.968577049,2005
Africa,Northern Africa,Morocco,7506,24.59284684,2005
Americas,Caribbean,Bahamas,846,256.9483886,2005
Americas,Caribbean,Barbados,121,44.15913346,2005
Americas,Caribbean,Dominican Republic,2585,27.9835619,2005
Americas,Caribbean,Grenada,0,0,2005
Americas,Caribbean,St. Vincent and the Grenadines,24,22.07018318,2005
Americas,Caribbean,Trinidad and Tobago,1329,102.4724466,2005
Americas,Central America,Belize,67,23.65176135,2005
Americas,Central America,Costa Rica,5114,120.3905702,2005
Americas,Central America,El Salvador,1857,30.80132713,2005
Americas,Central America,Guatemala,4034,30.80323286,2005
Americas,Central America,Mexico,143525,132.3149737,2005
Americas,Central America,Nicaragua,285,5.298059535,2005
Americas,Central America,Panama,757,22.72955879,2005
Americas,Northern America,Canada,160014,495.5838055,2005
Americas,Northern America,United States of America,1235859,418.751428,2005
Americas,South America,Argentina,52560,134.2683479,2005
Americas,South America,Chile,12108,74.98576831,2005
Americas,South America,Ecuador,6433,46.83575444,2005
Americas,South America,Paraguay,1524,26.29629157,2005
Americas,South America,Peru,12560,45.4900887,2005
Asia,Central Asia,Kyrgyzstan,295,5.81237267,2005
Asia,Central Asia,Tajikistan,53,0.773251227,2005
Asia,Central Asia,Turkmenistan,4,0.084128329,2005
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,1568,22.96506864,2005
Asia,Eastern Asia,Japan,150883,117.5689393,2005
Asia,Eastern Asia,Mongolia,73,2.889434407,2005
Asia,South-Eastern Asia,Brunei Darussalam,163,44.6382114,2005
Asia,South-Eastern Asia,Malaysia,66927,260.8284615,2005
Asia,South-Eastern Asia,Singapore,1058,23.55800725,2005
Asia,South-Eastern Asia,Thailand,20343,31.09339528,2005
Asia,Southern Asia,Bangladesh,1061,0.73972799,2005
Asia,Southern Asia,India,85709,7.49126834,2005
Asia,Southern Asia,Nepal,26,0.101402921,2005
Asia,Western Asia,Armenia,96,3.220116065,2005
Asia,Western Asia,Azerbaijan,124,1.452227682,2005
Asia,Western Asia,Bahrain,3030,340.7679988,2005
Asia,Western Asia,Cyprus,1610,156.6669067,2005
Asia,Western Asia,Georgia,283,6.307746247,2005
Asia,Western Asia,Israel,34795,526.9598378,2005
Asia,Western Asia,Jordan,3006,52.60660845,2005
Asia,Western Asia,Kuwait,7,0.307472954,2005
Asia,Western Asia,Qatar,187,21.62192162,2005
Asia,Western Asia,State of Palestine,286,7.997382675,2005
Asia,Western Asia,Syrian Arab Republic,645,3.525628394,2005
Asia,Western Asia,Turkey,33344,49.10504784,2005
Asia,Western Asia,United Arab Emirates,520,11.35479769,2005
Asia,Western Asia,Yemen,714,3.46889439,2005
Europe,Eastern Europe,Belarus,1420,14.75854756,2005
Europe,Eastern Europe,Bulgaria,5904,76.8373517,2005
Europe,Eastern Europe,Czech Republic,23040,224.6013326,2005
Europe,Eastern Europe,Hungary,8961,88.84182912,2005
Europe,Eastern Europe,Poland,45292,118.0627019,2005
Europe,Eastern Europe,Republic of Moldova,105,2.525435343,2005
Europe,Eastern Europe,Romania,1082,5.0487569,2005
Europe,Eastern Europe,Russian Federation,67546,47.03164853,2005
Europe,Eastern Europe,Slovakia,5591,103.5569238,2005
Europe,Eastern Europe,Ukraine,6197,13.21542792,2005
Europe,Northern Europe,Denmark,16341,301.3998187,2005
Europe,Northern Europe,Finland,16791,319.2856642,2005
Europe,Northern Europe,Iceland,325,110.1773347,2005
Europe,Northern Europe,Ireland,14199,337.0300859,2005
Europe,Northern Europe,Latvia,2223,98.71300094,2005
Europe,Northern Europe,Lithuania,4541,135.7852219,2005
Europe,Northern Europe,Norway,15350,331.3642883,2005
Europe,Northern Europe,Sweden,56719,627.5181518,2005
Europe,Northern Europe,United Kingdom (England and Wales),214182,399.7771885,2005
Europe,Northern Europe,United Kingdom (Northern Ireland),4124,238.694289,2005
Europe,Northern Europe,United Kingdom (Scotland),14041,274.7641971,2005
Europe,Southern Europe,Albania,708,22.993142,2005
Europe,Southern Europe,Bosnia and Herzegovina,2321,61.37727322,2005
Europe,Southern Europe,Croatia,2274,51.94084956,2005
Europe,Southern Europe,Greece,17552,155.3108855,2005
Europe,Southern Europe,Italy,265975,452.2731865,2005
Europe,Southern Europe,Malta,672,165.1970196,2005
Europe,Southern Europe,Montenegro,121,19.63049248,2005
Europe,Southern Europe,Portugal,25733,243.5517191,2005
Europe,Southern Europe,Serbia,3719,40.35817309,2005
Europe,Southern Europe,Slovenia,873,43.73131839,2005
Europe,Southern Europe,Spain,122169,277.3880544,2005
Europe,Southern Europe,The former Yugoslav Rep. of Macedonia,567,27.52063805,2005
Europe,Western Europe,Austria,11089,134.3526803,2005
Europe,Western Europe,Belgium,26767,253.7905501,2005
Europe,Western Europe,France,260538,425.4800037,2005
Europe,Western Europe,Germany,96451,118.0966606,2005
Europe,Western Europe,Liechtenstein,13,37.30058533,2005
Europe,Western Europe,Monaco,149,440.9197171,2005
Europe,Western Europe,Netherlands,27425,167.5611612,2005
Europe,Western Europe,Switzerland,59041,796.741512,2005
Oceania,Australia and New Zealand,Australia,80365,397.0817984,2005
Oceania,Australia and New Zealand,New Zealand,23952,579.2005765,2005
Africa,Eastern Africa,Kenya,695,1.875739669,2006
Africa,Eastern Africa,Mauritius,1005,81.83386016,2006
Africa,Eastern Africa,Uganda,1206,4.081126846,2006
Africa,Eastern Africa,Zimbabwe,533,4.061179188,2006
Africa,Middle Africa,Cameroon,428,2.391119961,2006
Africa,Middle Africa,Sao Tome and Principe,0,0,2006
Africa,Northern Africa,Algeria,2035,6.024646578,2006
Africa,Northern Africa,Egypt,3145,4.02384635,2006
Africa,Northern Africa,Morocco,8200,26.56356892,2006
Americas,Caribbean,Bahamas,1059,315.3381175,2006
Americas,Caribbean,Barbados,115,41.81225208,2006
Americas,Caribbean,Dominican Republic,2957,31.55365861,2006
Americas,Caribbean,Grenada,0,0,2006
Americas,Caribbean,St. Vincent and the Grenadines,30,27.5464387,2006
Americas,Caribbean,Trinidad and Tobago,1496,114.7992854,2006
Americas,Central America,Belize,62,21.32438168,2006
Americas,Central America,Costa Rica,5600,129.966761,2006
Americas,Central America,El Salvador,1257,20.75463661,2006
Americas,Central America,Guatemala,3235,24.14718271,2006
Americas,Central America,Mexico,146808,133.349831,2006
Americas,Central America,Nicaragua,200,3.669582701,2006
Americas,Central America,Panama,205,6.043801345,2006
Americas,Northern America,Canada,158638,485.9416539,2006
Americas,Northern America,United States of America,1198245,402.3287236,2006
Americas,South America,Argentina,52727,133.2873597,2006
Americas,South America,Bolivia (Plurinational State of),3285,35.38599387,2006
Americas,South America,Brazil,210212,111.2159767,2006
Americas,South America,Chile,13638,83.56724154,2006
Americas,South America,Colombia,19813,45.19829741,2006
Americas,South America,Ecuador,7096,50.80372408,2006
Americas,South America,Paraguay,2677,45.50557252,2006
Americas,South America,Peru,10428,37.30955597,2006
Asia,Central Asia,Kazakhstan,2141,13.64488539,2006
Asia,Central Asia,Kyrgyzstan,218,4.252223152,2006
Asia,Central Asia,Tajikistan,38,0.54281395,2006
Asia,Central Asia,Turkmenistan,2,0.041579134,2006
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,1752,25.53795885,2006
Asia,Eastern Asia,Japan,129352,100.7155529,2006
Asia,Eastern Asia,Mongolia,93,3.635635798,2006
Asia,Eastern Asia,Republic of Korea,14090,28.81635444,2006
Asia,South-Eastern Asia,Brunei Darussalam,169,45.64483457,2006
Asia,South-Eastern Asia,Malaysia,82287,314.750482,2006
Asia,South-Eastern Asia,Philippines,2096,2.386987665,2006
Asia,South-Eastern Asia,Singapore,900,19.51472939,2006
Asia,South-Eastern Asia,Thailand,23319,35.42620002,2006
Asia,Southern Asia,Bangladesh,1061,0.729871754,2006
Asia,Southern Asia,India,90951,7.827258519,2006
Asia,Southern Asia,Nepal,17,0.065534291,2006
Asia,Western Asia,Armenia,131,4.427919554,2006
Asia,Western Asia,Azerbaijan,117,1.355705172,2006
Asia,Western Asia,Bahrain,2151,224.4332825,2006
Asia,Western Asia,Cyprus,1780,170.2520017,2006
Asia,Western Asia,Georgia,181,4.077590464,2006
Asia,Western Asia,Israel,34448,509.9470616,2006
Asia,Western Asia,Jordan,2438,41.08366508,2006
Asia,Western Asia,Kuwait,4,0.168261081,2006
Asia,Western Asia,Qatar,131,12.96539329,2006
Asia,Western Asia,Syrian Arab Republic,882,4.66297157,2006
Asia,Western Asia,Turkey,33091,48.12298053,2006
Asia,Western Asia,United Arab Emirates,606,11.56040253,2006
Asia,Western Asia,Yemen,717,3.388383299,2006
