"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population ages 0-14, female","SP.POP.0014.FE.IN","11900","12013","12036","11986","11878","11726","11605","11421","11204","10996","10811","10509","10262","10034","9752","9383","9171","8844","8445","8065","7772","7626","7572","7593","7603","7529","7575","7480","7301","7179","7244","7407","7767","8286","8829","9285","9692","9972","10143","10266","10385","10541","10667","10748","10758","10699","10608","10535","10475","10434","10405","10284","10123","9931","9742","9575","9382","9254","",
"Afghanistan","AFG","Population ages 0-14, female","SP.POP.0014.FE.IN","1888679","1937005","1977993","2015625","2055745","2101167","2160334","2221329","2284877","2350761","2418801","2501079","2581861","2659414","2730916","2792636","2863717","2927784","2976180","2996213","2978637","2948688","2890451","2817222","2749761","2706712","2674276","2656334","2668805","2730933","2857536","3023293","3242095","3491558","3733748","3937423","4125752","4280963","4417632","4563759","4741350","4942658","5161572","5387268","5601091","5788702","5994552","6183234","6359360","6530668","6702662","6853410","6991636","7115925","7225290","7318359","7400532","7481013","",
"Angola","AGO","Population ages 0-14, female","SP.POP.0014.FE.IN","1276779","1315047","1358792","1403601","1441935","1470181","1504365","1527770","1545045","1563682","1588370","1626021","1667802","1713605","1761738","1811301","1873145","1934579","1997531","2064439","2136704","2225414","2315725","2405975","2492863","2573211","2658758","2738418","2814362","2890371","2970063","3070707","3171379","3271347","3368273","3459551","3560383","3654682","3746762","3843021","3948999","4078995","4216686","4362010","4513365","4669302","4845419","5023506","5204624","5389539","5578228","5783176","5986697","6189374","6391274","6591525","6793651","6995263","",
"Albania","ALB","Population ages 0-14, female","SP.POP.0014.FE.IN","314300","327734","341239","354435","366932","378164","389248","399087","408791","418207","425897","432207","439021","445055","449996","453920","457950","460726","462203","463582","466057","468815","473030","477981","483133","488240","493089","498667","504324","514634","520564","519893","519173","517421","513832","507943","499356","489110","477910","466435","455151","439282","426573","413549","400154","385981","369460","353778","339001","325407","313309","298836","285584","272876","260872","249999","245009","240119","",
"Andorra","AND","Population ages 0-14, female","SP.POP.0014.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 0-14, female","SP.POP.0014.FE.IN","19589522","20297820","21018181","21743484","22458760","23155927","23938849","24690062","25418663","26134222","26838609","27626014","28382913","29134719","29916162","30753361","31707238","32709595","33749300","34802706","35851286","36950248","38031957","39099708","40160519","41215095","42379670","43517999","44626122","45687906","47155615","48122692","48698115","49522067","50250212","51118965","51661058","52143072","52562952","52939516","53279028","53631670","53963273","54300845","54681648","55137020","55683186","56289141","56976312","57763979","58660033","59748317","60968075","62265366","63546500","64746630","65984435","67028492","",
"United Arab Emirates","ARE","Population ages 0-14, female","SP.POP.0014.FE.IN","20740","21896","23279","24767","26184","27465","28644","29944","31778","34652","38979","43674","49336","56239","64721","75105","85346","97334","111254","126689","142993","157215","172089","187445","202748","217449","232405","246094","258652","270338","281349","291135","300603","309466","317431","324689","336530","348494","362068","377549","394115","388707","384173","383716","390772","407348","427855","455718","487797","517845","540368","566800","584192","595784","606248","618243","630622","641760","",
"Argentina","ARG","Population ages 0-14, female","SP.POP.0014.FE.IN","3117228","3160441","3201903","3240656","3275325","3305485","3338478","3367078","3394057","3423783","3459371","3504642","3555970","3613122","3676111","3745430","3828757","3922586","4022856","4121652","4213359","4323906","4410654","4483000","4555274","4633751","4689474","4763937","4843027","4906290","4945066","4989722","5008010","5009456","5010279","5018302","5031478","5047349","5066045","5084974","5102918","5113002","5130505","5150917","5168223","5179792","5199773","5209456","5214466","5223699","5241283","5261063","5290326","5324182","5354149","5375640","5399393","5413730","",
"Armenia","ARM","Population ages 0-14, female","SP.POP.0014.FE.IN","357799","380605","401290","419848","436569","451295","462841","471456","477374","481288","483857","482256","481179","480045","477758","473881","471642","467456","462880","460003","459682","461484","466046","472777","480412","488266","497132","506632","515746","522282","523677","519645","509868","495892","480305","465154","448793","432556","416212","399485","382425","364361","347873","332596","318018","304036","293413","282627","272735","265224","260857","259651","260461","263051","266436","269709","271772","273784","",
"American Samoa","ASM","Population ages 0-14, female","SP.POP.0014.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 0-14, female","SP.POP.0014.FE.IN","12019","12210","12442","12698","12944","13165","13341","13510","13663","13796","13895","14007","14068","14082","14055","13977","13806","13586","13322","13023","12702","12273","11910","11586","11262","10935","10686","10439","10301","10352","10595","10559","10654","10832","11040","11256","11415","11667","11985","12303","12546","12702","12745","12737","12745","12798","12756","12703","12651","12595","12533","12466","12403","12348","12290","12235","12193","12150","",
"Australia","AUS","Population ages 0-14, female","SP.POP.0014.FE.IN","1514551","1548161","1581470","1601813","1622582","1645638","1677806","1694002","1720497","1752554","1779328","1821992","1837057","1845395","1868988","1863515","1863664","1853511","1837454","1822042","1815654","1806116","1811522","1816812","1817358","1815344","1827716","1827166","1824114","1827114","1835273","1841798","1856413","1871931","1886995","1899174","1913356","1918854","1919564","1922318","1927759","1932917","1936014","1939990","1943151","1950916","1959342","1954591","1981466","2012688","2034634","2063969","2095961","2125575","2153387","2184488","2226621","2276971","",
"Austria","AUT","Population ages 0-14, female","SP.POP.0014.FE.IN","767293","779326","791005","803435","817681","833342","849353","866599","881398","891810","897894","900052","898922","893387","881426","863509","842486","822934","801616","778737","756918","738644","719866","700690","684017","669099","659245","647949","637702","632594","634032","641100","654620","669874","680999","686211","686055","680459","671206","662632","656704","650327","647457","646046","644231","640152","635054","626485","616603","607249","599747","593830","590260","589184","590273","593860","599187","603835","",
"Azerbaijan","AZE","Population ages 0-14, female","SP.POP.0014.FE.IN","748278","798171","850990","903427","951064","991105","1029490","1057785","1078398","1094973","1109003","1116681","1122533","1125259","1122749","1114543","1105419","1091801","1075720","1060680","1049088","1041823","1038436","1039443","1044877","1054766","1073645","1097095","1123243","1149680","1161150","1191721","1216955","1238149","1253890","1263341","1263567","1258939","1249231","1233421","1212117","1181381","1149527","1116229","1082257","1048744","1023648","997839","983312","974312","965003","965365","974626","990636","1008882","1026052","1049774","1067259","",
"Burundi","BDI","Population ages 0-14, female","SP.POP.0014.FE.IN","611728","627066","643658","660949","677944","694348","716536","737491","756555","772793","785168","799458","809280","816267","823292","832832","844160","858498","875700","894872","915520","946675","977316","1008777","1042635","1079373","1121252","1164860","1208511","1249526","1286232","1335406","1379108","1416874","1448399","1473401","1499240","1519584","1537562","1557651","1583435","1597476","1617485","1642918","1672968","1707268","1748250","1793252","1841686","1892341","1944315","2009674","2074263","2139853","2208965","2282845","2359920","2440948","",
"Belgium","BEL","Population ages 0-14, female","SP.POP.0014.FE.IN","1053282","1068468","1076905","1083993","1092498","1101765","1109369","1114163","1115909","1114848","1109892","1101300","1095239","1087232","1076512","1062343","1047020","1027938","1006802","986257","967888","949184","933215","919820","907542","895966","887644","879267","873406","869885","868508","868099","871130","876332","881037","883526","885108","884810","882643","880590","879552","876739","876411","876913","877541","878756","881651","884852","888665","893135","899132","913779","921298","926403","929785","937059","942032","947286","",
"Benin","BEN","Population ages 0-14, female","SP.POP.0014.FE.IN","477443","488229","499096","510418","522505","535469","550715","566273","582161","598268","614536","633765","652693","671552","690649","710208","733220","756276","779542","803111","827039","854741","882253","909881","937903","966478","998483","1030426","1062896","1096581","1131947","1170315","1209651","1249438","1288679","1326548","1369790","1411058","1451082","1490913","1531252","1575303","1619274","1663176","1706859","1750255","1798418","1846261","1893846","1941211","1988450","2040212","2091076","2141499","2192009","2242863","2296393","2349545","",
"Burkina Faso","BFA","Population ages 0-14, female","SP.POP.0014.FE.IN","979586","1000873","1020539","1039261","1057764","1076530","1102153","1127532","1152577","1176838","1200030","1230589","1258837","1285815","1313041","1341425","1377951","1415390","1453754","1492743","1532397","1581741","1630011","1678022","1726552","1775642","1831993","1887394","1942082","1996029","2049179","2108746","2167219","2224849","2281990","2339041","2406034","2471898","2537554","2603987","2671680","2750050","2828154","2906782","2986832","3068950","3162713","3257353","3352881","3448785","3544661","3649428","3751727","3852555","3953069","4053583","4156087","4258522","",
"Bangladesh","BGD","Population ages 0-14, female","SP.POP.0014.FE.IN","9945375","10336143","10709340","11083126","11483336","11921508","12429966","12971721","13513955","13999357","14386226","14746809","15024180","15253993","15500707","15808997","16202475","16637323","17096030","17539886","17944997","18426652","18841983","19220467","19605762","20018577","20447272","20891416","21330215","21725848","22056192","22388057","22654881","22870073","23057186","23230519","23403447","23559485","23696578","23808067","23890484","24015136","24109026","24172349","24202505","24194701","24199548","24161215","24093669","24013517","23928453","23778181","23641784","23510397","23368128","23207200","23039826","22851734","",
"Bulgaria","BGR","Population ages 0-14, female","SP.POP.0014.FE.IN","1005496","1004881","999011","989563","980143","971385","964041","957697","953343","950243","946600","944435","942119","941387","943334","944653","948330","952928","953375","953231","954537","956672","956028","953242","949821","944132","932676","925511","918228","896080","863970","842156","813754","783879","757674","732913","707761","684950","663944","643811","623343","592143","561944","541052","522062","505410","496688","488619","482192","478267","476509","477581","479376","481973","485206","488471","488020","489468","",
"Bahrain","BHR","Population ages 0-14, female","SP.POP.0014.FE.IN","33443","35402","37253","39169","41246","43394","43896","44590","45483","46488","47531","48422","49086","49749","50744","52246","53809","55670","57673","59584","61276","62449","63816","65331","66966","68682","71144","73344","75411","77287","78795","80274","81200","81816","82413","83273","85075","87020","89547","92780","96589","98211","100077","102433","105515","109424","111811","114931","118289","121134","123031","126654","129486","132152","135297","139131","141602","144413","",
"Bahamas, The","BHS","Population ages 0-14, female","SP.POP.0014.FE.IN","23219","24399","25721","27155","28649","30121","31249","32274","33245","34219","35211","35544","36134","36836","37444","37841","38172","38154","37963","37907","38150","38143","38608","39323","39940","40273","40759","40803","40625","40574","40841","40991","41576","42372","42983","43220","43644","43643","43403","43243","43331","42861","42569","42348","42044","41599","41660","41614","41298","40692","39894","39876","39573","39220","39027","39056","39116","39433","",
"Bosnia and Herzegovina","BIH","Population ages 0-14, female","SP.POP.0014.FE.IN","597721","608520","617811","625081","630279","633409","639780","641936","641225","639880","639172","634718","632877","631938","629207","623448","618017","609141","598451","588806","581752","574487","569884","566898","563712","559334","555614","551521","545852","536987","523369","502156","477603","452008","428993","411529","399400","392185","388192","384405","378696","371069","360242","347473","335210","324853","313472","305697","299825","293044","284080","279028","270701","260961","252893","248102","242419","240251","",
"Belarus","BLR","Population ages 0-14, female","SP.POP.0014.FE.IN","1152411","1188306","1216131","1237324","1255175","1270675","1274416","1276772","1275694","1269192","1257102","1233832","1212967","1193627","1174224","1153400","1138057","1118603","1098856","1083281","1075601","1075141","1082307","1094585","1106796","1116106","1131387","1143051","1146591","1147621","1145190","1140495","1133908","1123595","1106010","1083076","1046709","1011634","976194","939334","900033","864530","827363","790918","758850","732591","713782","699413","689823","685074","684643","690191","699710","712904","728058","743666","759187","772888","",
"Belize","BLZ","Population ages 0-14, female","SP.POP.0014.FE.IN","20703","21576","22381","23178","23983","24801","25597","26422","27232","27953","28549","29310","29985","30560","31050","31459","31868","32171","32420","32761","33296","33626","34245","35042","35863","36589","37523","38328","39036","39687","40293","40871","41436","42023","42707","43607","44566","45710","47035","48472","49880","51020","52059","52989","53841","54648","55187","55676","56113","56507","56847","56991","57190","57383","57513","57578","57897","58097","",
"Bermuda","BMU","Population ages 0-14, female","SP.POP.0014.FE.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 0-14, female","SP.POP.0014.FE.IN","777532","795663","815458","835862","854842","871432","890807","907572","922702","937749","953556","973337","993112","1013204","1033683","1054531","1078424","1102592","1126906","1150992","1174510","1200508","1225277","1249055","1272080","1294307","1317262","1339091","1359975","1380071","1399473","1419053","1437846","1455939","1473460","1490491","1508967","1526562","1543407","1559547","1574859","1591313","1606208","1619886","1632681","1644660","1655903","1666409","1675945","1684064","1690533","1696624","1700779","1703526","1705789","1708158","1711618","1715606","",
