"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Population ages 15-64, male","SP.POP.1564.MA.IN","14163","14577","14848","15030","15192","15393","15585","15834","16109","16375","16620","16953","17254","17538","17838","18151","18296","18479","18723","19008","19327","19657","20042","20398","20672","20815","20608","20327","20131","20200","20623","21729","23169","24770","26315","27637","28419","28977","29387","29760","30183","30774","31396","32021","32600","33070","33263","33316","33288","33230","33189","33359","33579","33826","34064","34249","34421","34521","",
"Afghanistan","AFG","Population ages 15-64, male","SP.POP.1564.MA.IN","2611251","2636745","2668199","2704698","2745702","2791185","2824864","2864055","2909668","2963233","3025382","3079897","3142545","3209899","3278256","3345194","3391629","3435432","3468573","3482181","3472674","3403224","3310628","3207911","3110657","3029826","2972192","2941758","2948754","3004485","3111522","3312053","3578906","3876922","4164713","4418461","4588316","4711111","4816856","4943155","5112245","5355585","5650160","5970715","6284421","6571250","6752389","6901721","7042873","7207872","7417635","7724346","8084944","8482622","8891544","9293537","9655272","9998883","",
"Angola","AGO","Population ages 15-64, male","SP.POP.1564.MA.IN","1432805","1447584","1459788","1472371","1490623","1517027","1534224","1561113","1595659","1634042","1674235","1708210","1746576","1788938","1835757","1887170","1930134","1979328","2034679","2096318","2164325","2227595","2300905","2380565","2462388","2544385","2610357","2675716","2744647","2822692","2912832","2998163","3100169","3213499","3331267","3449902","3548880","3651241","3760166","3879994","4013013","4143276","4289392","4448619","4617647","4794289","4958471","5133349","5318337","5513597","5719477","5920666","6136483","6364287","6601364","6846773","7090693","7343883","",
"Albania","ALB","Population ages 15-64, male","SP.POP.1564.MA.IN","457350","469081","480658","492183","504401","517480","530523","545433","563153","582408","600556","619150","638647","658140","678593","700666","721775","744764","767942","790688","813605","835800","858580","881476","904817","928466","951368","975437","998132","1027928","1047514","1026503","1003390","980448","960143","943983","948332","955624","964101","971601","976854","973804","975386","975380","974986","974432","973866","971918","969848","968581","968732","979382","989988","999226","1006532","1010639","1009659","1008642","",
"Andorra","AND","Population ages 15-64, male","SP.POP.1564.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population ages 15-64, male","SP.POP.1564.MA.IN","24609239","25097596","25626919","26204735","26843784","27551760","28223023","28987336","29824780","30710497","31634243","32493901","33414944","34412358","35505972","36706069","38004699","39411781","40905436","42461318","44062132","45605484","47198267","48840508","50532653","52276743","53968726","55728119","57540306","59405728","61828781","63810236","65120439","67317168","69561366","72488250","74670086","76875327","79107840","81420830","83853995","86508346","89278916","92182679","95239493","98452901","101822806","105367030","108983758","112534502","115929710","119062152","122028095","124859899","127641642","130436582","133101937","135885820","",
"United Arab Emirates","ARE","Population ages 15-64, male","SP.POP.1564.MA.IN","24235","28676","34746","41888","49186","56063","62170","67980","75273","86627","103894","132022","166455","206489","251042","298962","355019","414936","473299","524982","567598","596580","616653","631707","647764","669520","704778","748779","799715","855350","914338","979879","1049600","1122102","1195620","1269180","1340358","1417296","1498362","1585107","1682992","1823893","1970379","2149664","2402535","2755322","3269414","3884699","4528296","5105502","5552760","5808141","5937152","5973193","5974086","5986468","6018891","6068132","",
"Argentina","ARG","Population ages 15-64, male","SP.POP.1564.MA.IN","6689074","6777662","6870735","6967774","7067760","7169981","7261591","7356304","7455640","7561078","7673129","7785019","7904083","8025417","8141851","8248132","8317614","8371715","8419128","8473552","8544066","8614939","8717785","8840751","8966745","9087313","9220671","9338595","9453640","9584395","9738688","9881174","10048917","10232579","10416600","10592962","10751019","10905760","11058432","11213298","11372806","11536474","11698153","11860601","12027435","12199555","12354914","12520867","12692285","12861204","13023894","13178858","13327701","13473427","13621957","13775816","13916930","14065085","",
"Armenia","ARM","Population ages 15-64, male","SP.POP.1564.MA.IN","484272","493270","503878","516316","530762","547451","566039","587668","612053","638336","665858","697112","727387","757233","787687","819042","847293","876743","906217","934067","959624","982083","1001419","1018693","1035582","1052733","1070229","1087783","1101710","1107334","1102298","1080255","1047555","1009347","972440","941498","924047","913783","909224","907567","906578","909794","912454","914715","917095","919756","919474","919320","919224","919019","918876","920589","924019","928218","932139","935028","935722","935174","",
"American Samoa","ASM","Population ages 15-64, male","SP.POP.1564.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Population ages 15-64, male","SP.POP.1564.MA.IN","13418","13635","13951","14330","14743","15174","15625","16079","16530","16986","17441","17818","18202","18583","18972","19367","19834","20328","20819","21245","21564","21780","21805","21703","21554","21405","21133","20856","20569","20251","19959","20269","20696","21223","21831","22473","23137","23713","24200","24624","25044","25594","26163","26702","27162","27543","28043","28521","28997","29504","30059","30589","31164","31754","32319","32841","33291","33709","",
"Australia","AUS","Population ages 15-64, male","SP.POP.1564.MA.IN","3223386","3281603","3365915","3440840","3520076","3599121","3690689","3744880","3816733","3902885","3989638","4136136","4222965","4299185","4423304","4495892","4547544","4616305","4693119","4765607","4841330","4945795","5046670","5122394","5194275","5283168","5374713","5469851","5576115","5682275","5769514","5839548","5898346","5940554","5992803","6063047","6139133","6211293","6283583","6361991","6441058","6539967","6629300","6719273","6805596","6903995","7025546","7086678","7240719","7392461","7499424","7566688","7663689","7758235","7835080","7906672","7981763","8063438","",
"Austria","AUT","Population ages 15-64, male","SP.POP.1564.MA.IN","2151171","2153020","2157640","2162868","2167251","2169739","2170812","2172675","2171015","2169753","2174374","2183278","2201384","2224626","2243636","2256145","2269778","2289798","2309907","2332405","2363516","2398913","2433389","2462782","2493111","2520043","2536041","2550504","2564787","2584130","2608387","2633445","2657036","2671341","2676348","2680521","2684044","2692995","2705574","2719758","2731813","2743864","2755707","2765301","2778775","2795313","2804330","2809802","2815956","2820887","2824953","2832667","2843800","2858251","2877908","2907318","2932586","2950172","",
"Azerbaijan","AZE","Population ages 15-64, male","SP.POP.1564.MA.IN","985782","1001988","1019083","1038393","1061692","1089916","1114419","1146403","1184203","1224767","1266494","1310895","1354779","1400397","1450642","1506418","1562271","1622649","1686115","1749978","1812339","1868528","1921132","1970144","2015960","2058726","2089642","2118903","2147222","2174220","2173852","2194173","2214513","2236590","2258010","2279482","2303325","2331671","2365743","2404099","2446536","2500100","2554717","2612323","2676990","2749553","2818962","2892923","2996054","3095781","3161631","3219488","3270758","3314393","3353559","3390389","3413202","3439969","",
"Burundi","BDI","Population ages 15-64, male","SP.POP.1564.MA.IN","707514","717229","725858","734976","746948","762824","776639","795065","816016","836632","855425","863651","870598","877990","887864","901439","921661","945653","972608","1001438","1031025","1051808","1074593","1098547","1123128","1148466","1173466","1200444","1228906","1258476","1288523","1297111","1307766","1320398","1334761","1351304","1369694","1389597","1413462","1444155","1483316","1548440","1621706","1701080","1783585","1866910","1948375","2030863","2113703","2196248","2277758","2342142","2408217","2475792","2544854","2616081","2691253","2769671","",
"Belgium","BEL","Population ages 15-64, male","SP.POP.1564.MA.IN","2941389","2932496","2933130","2949445","2973061","2995142","3005649","3015157","3022276","3029214","3034050","3041492","3057630","3074615","3095748","3120407","3136570","3154929","3176352","3201643","3231200","3254284","3279041","3303966","3325132","3341360","3343604","3343573","3348658","3354505","3358552","3362705","3367713","3372079","3374361","3374773","3371551","3372843","3375618","3380275","3386111","3397706","3412650","3426882","3443160","3465474","3489037","3518324","3550593","3581246","3611937","3652615","3667366","3672542","3669422","3681262","3689218","3692743","",
"Benin","BEN","Population ages 15-64, male","SP.POP.1564.MA.IN","641071","645436","649953","655141","662036","671159","677762","686865","698019","710499","723908","734540","746858","760787","776378","793641","809337","827051","846738","868388","891973","913773","938279","965199","994156","1024992","1053912","1085281","1119537","1157337","1199057","1244063","1293640","1346596","1401493","1457392","1506357","1556871","1609443","1664902","1723854","1783658","1847620","1914946","1984501","2055491","2119766","2185638","2253865","2325499","2401162","2476795","2557255","2641852","2729613","2820008","2909943","3003365","",
"Burkina Faso","BFA","Population ages 15-64, male","SP.POP.1564.MA.IN","1381491","1385645","1392386","1401429","1412391","1425148","1432886","1442934","1455322","1470335","1488065","1498483","1512908","1530641","1550496","1571890","1585769","1601464","1619890","1642342","1669463","1692121","1721043","1755018","1792514","1832924","1870785","1913045","1959783","2011387","2068190","2123907","2185176","2251966","2324150","2401526","2473386","2551650","2635633","2724494","2817898","2905448","2999246","3099169","3205137","3317052","3423521","3537372","3658130","3785556","3919558","4049893","4188680","4335069","4488191","4647769","4809193","4977097","",
"Bangladesh","BGD","Population ages 15-64, male","SP.POP.1564.MA.IN","13989682","14267424","14585873","14935237","15301061","15676936","16037070","16415099","16795932","17172153","17543243","17806121","18039137","18275730","18548454","18879879","19263236","19747468","20312368","20937804","21608694","22247194","22956237","23720267","24520202","25347122","26139286","26962162","27815622","28706529","29637152","30521319","31437655","32388120","33374242","34397393","35402193","36441600","37508892","38595740","39692673","40710596","41745016","42774112","43770543","44718289","45478601","46195098","46895075","47612999","48375167","49257875","50167037","51105311","52072744","53060983","54013385","54984151","",
"Bulgaria","BGR","Population ages 15-64, male","SP.POP.1564.MA.IN","2616612","2647713","2680318","2713368","2745982","2774200","2796414","2816842","2838423","2860623","2878510","2889439","2897425","2906230","2918334","2924186","2923611","2925624","2917747","2915505","2927373","2939101","2956747","2976049","2992210","2995727","2992176","2987570","2979797","2937684","2884084","2848748","2818797","2802102","2799683","2793520","2784251","2771856","2758449","2750950","2749341","2705763","2659844","2652464","2646574","2640150","2622467","2606612","2590739","2573070","2550758","2519152","2487014","2454208","2421934","2390135","2357733","2325730","",
"Bahrain","BHR","Population ages 15-64, male","SP.POP.1564.MA.IN","50890","51903","53128","54310","55311","56244","57774","59179","60579","62244","64388","68090","72792","78451","85034","92488","102425","113227","124148","134316","143158","148535","152231","154962","157821","161638","167416","174481","182144","189715","196958","203234","209842","216657","223577","230532","236124","242318","249295","257906","269152","289528","312936","339586","370189","405169","451645","502327","552817","597450","632429","649184","656354","659240","666145","683199","720008","767288","",
"Bahamas, The","BHS","Population ages 15-64, male","SP.POP.1564.MA.IN","27487","29166","30881","32595","34310","36038","38061","40133","42135","43904","45393","47081","48270","49183","50159","51420","52862","54772","56976","59145","61106","63347","65205","66844","68540","70452","72111","74104","76286","78368","80235","82239","83906","85341","86775","88317","89289","90416","91702","93088","94596","97189","100007","103065","106308","109620","112388","115197","118191","121398","124687","126915","129239","131446","133339","134875","136164","137071","",
"Bosnia and Herzegovina","BIH","Population ages 15-64, male","SP.POP.1564.MA.IN","907861","925196","944724","966176","988484","1010793","1025881","1043038","1061612","1080321","1098621","1118485","1136989","1155867","1177419","1202413","1227916","1256125","1286345","1317036","1347284","1378379","1407545","1435276","1462749","1490097","1514635","1538583","1556491","1561157","1548771","1516400","1466899","1409204","1355024","1312121","1288434","1277346","1275540","1278059","1281257","1282243","1285413","1290176","1295704","1301356","1308347","1312904","1314829","1314437","1311671","1298992","1285487","1271600","1257429","1243483","1234823","1226174","",
"Belarus","BLR","Population ages 15-64, male","SP.POP.1564.MA.IN","2252963","2254846","2267134","2287614","2312716","2340560","2376123","2415423","2458891","2506702","2557663","2612894","2666325","2717669","2766721","2812768","2850854","2895681","2945845","2993340","3036371","3076958","3110837","3140171","3167977","3195314","3215254","3236968","3246962","3255736","3258672","3250304","3248985","3251351","3248092","3244798","3251179","3257716","3265836","3278379","3290377","3288430","3282469","3275398","3270602","3267670","3259461","3258983","3261859","3265037","3264382","3249804","3233730","3217534","3202324","3189662","3168472","3147263","",
"Belize","BLZ","Population ages 15-64, male","SP.POP.1564.MA.IN","22663","23017","23480","24019","24605","25245","25980","26741","27536","28343","29144","29618","30066","30512","30991","31521","32181","32930","33807","34786","35839","37121","38401","39697","41070","42550","43875","45357","46902","48359","49681","50712","51559","52418","53543","55067","57466","60293","63303","66240","68960","71599","74142","76665","79299","82093","84948","87863","90811","93757","96650","99980","103265","106558","109903","113312","116495","119752","",
"Bermuda","BMU","Population ages 15-64, male","SP.POP.1564.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Population ages 15-64, male","SP.POP.1564.MA.IN","966311","984524","1002911","1022196","1043938","1068942","1090633","1115969","1144138","1173860","1204449","1230708","1258654","1288036","1318800","1350987","1379371","1409254","1440563","1473418","1507945","1538700","1571707","1606428","1642302","1679167","1713884","1749954","1787476","1826685","1867795","1909523","1953421","1999456","2047596","2097754","2147312","2199263","2253102","2308331","2364681","2418849","2474823","2531994","2589747","2647836","2705309","2763080","2821684","2882015","2944508","3007667","3073367","3140672","3208073","3274618","3340475","3405360","",
"Brazil","BRA","Population ages 15-64, male","SP.POP.1564.MA.IN","19285094","19790584","20324456","20893528","21508524","22174186","22800911","23503267","24261606","25047825","25848743","26640149","27444833","28274009","29144820","30062386","30958986","31891837","32857523","33848868","34858588","35790672","36759872","37748948","38743573","39739944","40669573","41626000","42604839","43602515","44620166","45656472","46687381","47739645","48844621","50012466","51154832","52344847","53563015","54779371","55975313","57067019","58166697","59259051","60329727","61374121","62417336","63414632","64381585","65339877","66296236","67216687","68114831","68987509","69825492","70619675","71294990","71954374","",
"Barbados","BRB","Population ages 15-64, male","SP.POP.1564.MA.IN","56180","56001","56172","56584","57059","57484","57965","58496","59110","59833","60705","62467","63968","65273","66563","67904","68630","69617","70503","71013","71216","72527","73640","74671","75820","77146","78248","79561","80958","82235","83293","84053","84567","84921","85244","85605","85919","86259","86587","86834","86987","87640","88169","88623","89081","89586","89998","90451","90873","91165","91277","91496","91508","91377","91168","90932","90846","90715","",
"Brunei Darussalam","BRN","Population ages 15-64, male","SP.POP.1564.MA.IN","22400","23220","23962","24722","25635","26797","28268","30015","31976","34001","36038","38167","40249","42350","44602","47056","49624","52591","55725","58798","61680","63820","65680","67389","69186","71209","74158","77303","80514","83718","86875","89606","92409","95186","97888","100513","102760","104970","107240","109696","112448","115523","118899","122360","125748","129006","131620","134312","136965","139568","142213","145179","148080","150902","153652","156282","158476","160694","",
"Bhutan","BTN","Population ages 15-64, male","SP.POP.1564.MA.IN","63559","64970","66678","68587","70565","72538","74434","76390","78448","80708","83220","85734","88561","91641","94924","98360","101550","104970","108527","112149","115791","118376","120954","123688","126780","130319","134347","138819","143168","146728","149097","147889","145456","142541","140079","138743","140783","144238","149010","154924","161813","171550","182291","193501","204590","215211","224291","232813","240828","248561","256184","263013","269854","276535","282807","288548","293572","298001","",
"Botswana","BWA","Population ages 15-64, male","SP.POP.1564.MA.IN","122723","123975","125144","126500","128457","131219","134932","139486","144766","150545","156690","163281","170339","177848","185847","194349","203473","213088","223090","233355","243810","253272","262992","272995","283375","294261","305078","316727","329145","342231","355931","370598","385487","400697","416407","432590","446744","461541","476598","491324","505435","517568","529273","540792","552542","564784","577957","591422","605198","619240","633460","647415","661564","675793","690069","704413","718490","733169","",
"Central African Republic","CAF","Population ages 15-64, male","SP.POP.1564.MA.IN","424643","428795","433983","440114","447187","455194","461406","468883","477321","486400","495913","501921","508732","516468","525301","535377","545019","556212","568962","583284","599134","615587","633913","653268","672695","691577","703702","715583","728028","742145","758703","778148","800571","825253","851194","877682","899781","922411","945669","969784","994822","1013940","1034162","1055309","1077158","1099560","1116258","1134011","1151694","1167904","1181829","1180801","1177351","1174079","1174129","1179596","1196926","1220765","",
"Canada","CAN","Population ages 15-64, male","SP.POP.1564.MA.IN","5302159","5391422","5484773","5589991","5707840","5833383","5983640","6148292","6315467","6474196","6639015","6823094","7010528","7205445","7414201","7638761","7793807","7947308","8091086","8229192","8382324","8519602","8646994","8749572","8843692","8931329","9016016","9127796","9237531","9392831","9521201","9630698","9727177","9815114","9899805","9983288","10089244","10210049","10324354","10440758","10564511","10705130","10831703","10968886","11108862","11247463","11355015","11479683","11610990","11739307","11851944","11925638","12019183","12102948","12171944","12204844","12276150","12342628","",
"Central Europe and the Baltics","CEB","Population ages 15-64, male","SP.POP.1564.MA.IN","28011293","28295178","28627035","29027969","29465723","29857403","30264208","30699619","31102946","31480171","31813348","32020020","32344829","32692543","33022267","33316631","33533757","33658336","33727888","33822812","34020751","34221639","34514586","34857852","35177660","35440339","35649401","35794144","35906549","35969281","36043888","35911920","35913721","36091699","36242457","36379823","36405423","36512247","36575567","36710422","36672438","36623200","36549473","36607062","36679987","36745429","36733917","36666647","36583875","36530277","36378146","36121912","35903600","35676425","35425697","35142450","34838147","34500124","",
"Switzerland","CHE","Population ages 15-64, male","SP.POP.1564.MA.IN","1696911","1728453","1774808","1818099","1854602","1882677","1901964","1925696","1950447","1973394","1989379","1996158","2009114","2023342","2035750","2038908","2030900","2029509","2038024","2053599","2075604","2101635","2130109","2155523","2178109","2200297","2217019","2236065","2257015","2278349","2302801","2328499","2348683","2363503","2376826","2389560","2392046","2392375","2396656","2407034","2420693","2439040","2461460","2484649","2507410","2529373","2550762","2578700","2615766","2651140","2679245","2706737","2731726","2757705","2784870","2809953","2829751","2850705","",
"Channel Islands","CHI","Population ages 15-64, male","SP.POP.1564.MA.IN","35192","35475","35888","36296","36632","36932","37354","37848","38267","38571","38824","39203","39664","40148","40629","41083","41254","41411","41611","41894","42291","42850","43525","44268","45015","45735","46329","46942","47527","48048","48496","48636","48717","48775","48843","48966","49150","49403","49715","50085","50497","50928","51410","51946","52497","53028","53401","53829","54343","54893","55431","55622","55772","55869","55937","56004","56082","56153","",
"Chile","CHL","Population ages 15-64, male","SP.POP.1564.MA.IN","2103634","2144403","2184544","2226036","2272187","2324499","2377056","2435586","2498829","2564753","2632249","2695673","2762434","2831867","2903322","2976556","3051164","3125917","3201865","3280374","3361781","3442309","3524655","3608438","3692673","3776601","3857223","3938210","4018767","4098626","4177883","4252763","4329598","4407509","4485588","4563700","4644409","4723472","4802811","4885037","4971106","5057732","5147897","5240000","5330952","5418667","5501808","5581898","5659163","5734761","5809084","5876192","5943916","6010125","6071889","6127717","6177673","6221288","",
"China","CHN","Population ages 15-64, male","SP.POP.1564.MA.IN","197361143","194980997","195054173","197987434","201436358","206239373","210813931","216531535","223349616","230561213","237528490","243865015","249672312","255311353","261076865","267031922","273367155","280001553","287338237","295240558","303266600","312065501","321301228","330392183","338984958","347512611","355077379","362783605","370205465","377198570","384031500","388784714","394424231","400511838","406399692","411683828","419088265","424994096","430283656","436314414","443723515","450767555","459031922","467958588","476475900","484012352","489950205","495177886","499619320","503267185","506180144","508441505","510111326","511218923","511898835","512189097","511975905","511625426","",
"Cote d'Ivoire","CIV","Population ages 15-64, male","SP.POP.1564.MA.IN","1007347","1043713","1084362","1128140","1173925","1220910","1260818","1303289","1349474","1400985","1458862","1525143","1600093","1682151","1769266","1859644","1943838","2032583","2125722","2223710","2326615","2422606","2526427","2636158","2749460","2864935","2969227","3075730","3186400","3304105","3430101","3554504","3687861","3827930","3971194","4114714","4236610","4359203","4480313","4597596","4709530","4779678","4845475","4910991","4981011","5059304","5147843","5245816","5354504","5474565","5605437","5747703","5902000","6066316","6237450","6412646","6575661","6744940","",
"Cameroon","CMR","Population ages 15-64, male","SP.POP.1564.MA.IN","1429455","1452469","1477522","1504743","1534563","1567147","1593989","1625003","1659395","1696162","1734848","1768368","1805118","1845061","1888437","1935389","1978405","2026030","2077914","2133576","2192725","2248020","2307452","2371089","2439203","2511891","2579210","2652999","2732127","2815356","2902245","2983698","3070175","3161801","3259071","3362346","3459657","3564072","3675663","3793925","3918275","4036845","4161548","4292360","4429521","4572834","4707945","4851861","5002641","5158006","5316940","5467972","5625059","5788525","5959589","6139152","6318340","6507052","",
